run,binding_energy,ki_value,ki_unit,intermolecular_energy,vdw_hbond_desolv,electrostatic_energy,torsional_energy,internal_energy
7,-14.41,27.35,pM,-15.9,-15.9,,,-0.94
46,-14.37,29.4,pM,-15.86,-15.86,,,-0.94
49,-14.36,29.9,pM,-15.85,-15.85,,,-0.95
6,-14.35,30.54,pM,-15.84,-15.84,,,-0.97
29,-14.35,30.36,pM,-15.84,-15.84,,,-0.99
39,-14.35,30.17,pM,-15.84,-15.84,,,-0.96
50,-14.35,30.39,pM,-15.84,-15.84,,,-0.95
31,-14.34,30.62,pM,-15.84,-15.84,,,-0.94
41,-14.32,31.87,pM,-15.81,-15.81,,,-0.99
34,-14.31,32.53,pM,-15.8,-15.8,,,-0.98
35,-14.31,32.58,pM,-15.8,-15.8,,,-0.95
2,-14.3,33.16,pM,-15.79,-15.79,,,-0.99
10,-14.3,33.09,pM,-15.79,-15.79,,,-1.0
12,-14.3,33.02,pM,-15.79,-15.79,,,-1.01
3,-14.28,34.17,pM,-15.77,-15.77,,,-1.0
5,-14.28,34.0,pM,-15.77,-15.77,,,-0.97
25,-14.28,34.38,pM,-15.77,-15.77,,,-1.01
36,-14.28,34.15,pM,-15.77,-15.77,,,-1.0
8,-14.27,34.69,pM,-15.76,-15.76,,,-1.0
38,-14.27,34.66,pM,-15.76,-15.76,,,-1.0
45,-14.26,35.41,pM,-15.75,-15.75,,,-0.98
33,-14.25,35.88,pM,-15.74,-15.74,,,-0.96
16,-14.23,36.8,pM,-15.73,-15.73,,,-1.0
17,-14.22,37.5,pM,-15.72,-15.72,,,-1.0
42,-14.22,37.5,pM,-15.72,-15.72,,,-0.99
1,-14.21,38.26,pM,-15.7,-15.7,,,-0.99
4,-14.19,39.97,pM,-15.68,-15.68,,,-0.98
15,-14.19,39.38,pM,-15.69,-15.69,,,-0.95
20,-14.18,40.03,pM,-15.68,-15.68,,,-1.0
9,-14.17,41.16,pM,-15.66,-15.66,,,-0.99
21,-14.16,41.93,pM,-15.65,-15.65,,,-1.0
37,-14.16,41.7,pM,-15.65,-15.65,,,-0.99
28,-14.15,42.48,pM,-15.64,-15.64,,,-0.99
22,-14.14,43.12,pM,-15.63,-15.63,,,-0.76
23,-14.12,44.33,pM,-15.62,-15.62,,,-0.98
32,-14.05,50.21,pM,-15.54,-15.54,,,-0.96
44,-14.04,51.22,pM,-15.53,-15.53,,,-0.96
24,-13.98,56.24,pM,-15.47,-15.47,,,-0.95
48,-13.95,59.29,pM,-15.44,-15.44,,,-0.93
19,-13.93,61.86,pM,-15.42,-15.42,,,-0.87
27,-13.9,64.2,pM,-15.4,-15.4,,,-0.77
43,-13.89,65.57,pM,-15.38,-15.38,,,-0.85
11,-13.87,68.12,pM,-15.36,-15.36,,,-0.77
14,-13.84,71.61,pM,-15.33,-15.33,,,-0.78
18,-13.83,73.3,pM,-15.32,-15.32,,,-0.78
47,-13.78,79.63,pM,-15.27,-15.27,,,-0.61
13,-13.73,86.86,pM,-15.22,-15.22,,,-0.98
30,-13.73,86.31,pM,-15.22,-15.22,,,-0.99
26,-13.69,92.71,pM,-15.18,-15.18,,,-0.96
40,-13.62,104.21,pM,-15.11,-15.11,,,-0.81
